id,image_url
us_lvt_a_1_trb,https://static.encyclopedia.warthunder.com/slots/us_lvt_a_1_trb.png
us_m8_greyhound,https://static.encyclopedia.warthunder.com/slots/us_m8_greyhound.png
us_lvt_4_zis_2,https://static.encyclopedia.warthunder.com/slots/us_lvt_4_zis_2.png
us_m5a1_stuart_td,https://static.encyclopedia.warthunder.com/slots/us_m5a1_stuart_td.png
us_m8a1,https://static.encyclopedia.warthunder.com/slots/us_m8a1.png
us_t18_e2,https://static.encyclopedia.warthunder.com/slots/us_t18_e2.png
us_m4_sherman_calliope,https://static.encyclopedia.warthunder.com/slots/us_m4_sherman_calliope.png
us_t55e1,https://static.encyclopedia.warthunder.com/slots/us_t55e1.png
us_t86,https://static.encyclopedia.warthunder.com/slots/us_t86.png
us_m18_hellcat_black_cat,https://static.encyclopedia.warthunder.com/slots/us_m18_hellcat_black_cat.png
us_t28,https://static.encyclopedia.warthunder.com/slots/us_t28.png
us_m551_76,https://static.encyclopedia.warthunder.com/slots/us_m551_76.png
us_t30,https://static.encyclopedia.warthunder.com/slots/us_t30.png
us_m6a2e1,https://static.encyclopedia.warthunder.com/slots/us_m6a2e1.png
us_t29,https://static.encyclopedia.warthunder.com/slots/us_t29.png
us_t114,https://static.encyclopedia.warthunder.com/slots/us_t114.png
us_magach_3,https://static.encyclopedia.warthunder.com/slots/us_magach_3.png
us_merkava_mk_1,https://static.encyclopedia.warthunder.com/slots/us_merkava_mk_1.png
us_merkava_mk_2b_late,https://static.encyclopedia.warthunder.com/slots/us_merkava_mk_2b_late.png
us_xm_8,https://static.encyclopedia.warthunder.com/slots/us_xm_8.png
us_ccvl,https://static.encyclopedia.warthunder.com/slots/us_ccvl.png
us_m60a3_slep,https://static.encyclopedia.warthunder.com/slots/us_m60a3_slep.png
us_losat_ccv,https://static.encyclopedia.warthunder.com/slots/us_losat_ccv.png
us_ags_teledyne,https://static.encyclopedia.warthunder.com/slots/us_ags_teledyne.png
us_merkava_mk_3d,https://static.encyclopedia.warthunder.com/slots/us_merkava_mk_3d.png
ah_1g,https://static.encyclopedia.warthunder.com/slots/ah_1g.png
uh_1b,https://static.encyclopedia.warthunder.com/slots/uh_1b.png
uh_1c,https://static.encyclopedia.warthunder.com/slots/uh_1c.png
ah_1f,https://static.encyclopedia.warthunder.com/slots/ah_1f.png
ah_1w,https://static.encyclopedia.warthunder.com/slots/ah_1w.png
ah_1z,https://static.encyclopedia.warthunder.com/slots/ah_1z.png
ah_6m,https://static.encyclopedia.warthunder.com/slots/ah_6m.png
oh_58d,https://static.encyclopedia.warthunder.com/slots/oh_58d.png
mh_60l_dap,https://static.encyclopedia.warthunder.com/slots/mh_60l_dap.png
ah_64a,https://static.encyclopedia.warthunder.com/slots/ah_64a.png
ah_64d,https://static.encyclopedia.warthunder.com/slots/ah_64d.png
h_34,https://static.encyclopedia.warthunder.com/slots/h_34.png
uh_1c_xm_30,https://static.encyclopedia.warthunder.com/slots/uh_1c_xm_30.png
yah_64,https://static.encyclopedia.warthunder.com/slots/yah_64.png
ah_64a_greece_usa,https://static.encyclopedia.warthunder.com/slots/ah_64a_greece_usa.png
ah_64a_peten,https://static.encyclopedia.warthunder.com/slots/ah_64a_peten.png
rah_66,https://static.encyclopedia.warthunder.com/slots/rah_66.png
p-26a_34_m2,https://static.encyclopedia.warthunder.com/slots/p-26a_34_m2.png
p-26_group,https://static.encyclopedia.warthunder.com/slots/p-26_group.png
p-26a_33,https://static.encyclopedia.warthunder.com/slots/p-26a_33.png
